ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
760,"Glutamate receptor ionotropic, NMDA 2A",GRIN2A,558749,U09002,Q12879,NMDE1_HUMAN,3NFL; 5H8F; 5H8H; 5H8N; 5H8Q; 5I2K; 5I2N; 5KCJ; 5KDT; 5TP9; 5TPA; 6IRA; 6IRF; 6IRG; 6IRH; 7EOQ; 7EOR; 7EOS; 7EOT; 7EOU; 7EU7; 8E99; 8JIZ; 8JJ0; 8JJ1; 8JJ2,GRIN2A,GRIN2A,HGNC:4585,Humans,DB00193; DB00333; DB11823
417,"Glutamate receptor ionotropic, NMDA 2B",GRIN2B,1899202,U90278,Q13224,NMDE2_HUMAN,5EWJ; 5EWL; 5EWM; 7EU8; 7KL0; 7KL1; 7KL2; 7UIS; 7UJP; 7UJQ; 7UJR; 7UJS; 7UJT,GRIN2B,GRIN2B,HGNC:4586,Humans,DB00193; DB00333; DB11823
454,"Glutamate receptor ionotropic, NMDA 2C",GRIN2C,1196449,L76224,Q14957,NMDE3_HUMAN,8E92; 8E93; 8E94; 8E97; 8E98; 8E99,GRIN2C,GRIN2C,HGNC:4587,Humans,DB00193; DB00333; DB11823
396,"Glutamate receptor ionotropic, NMDA 2D",GRIN2D,2444026,U77783,O15399,NMDE4_HUMAN,7YFF; 7YFL; 7YFM; 7YFO; 7YFR; 8E96,GRIN2D,GRIN2D,HGNC:4588,Humans,DB00193; DB00333; DB11823
641,"Glutamate receptor ionotropic, NMDA 3A",GRIN3A,20372905,AJ416950,Q8TCU5,NMD3A_HUMAN,8USW; 8USX; 8UUE,GRIN3A,GRIN3A,HGNC:16767,Humans,DB00193; DB00333; DB11823
534,"Glutamate receptor ionotropic, NMDA 3B",GRIN3B,3025446,AC004528,O60391,NMD3B_HUMAN,,GRIN3B,GRIN3B,HGNC:16768,Humans,DB00193; DB00333; DB11823
4919,Sodium/potassium-transporting ATPase subunit beta-1,ATP1B1,,,P05026,AT1B1_HUMAN,7E1Z; 7E20; 7E21; 8D3U; 8D3V; 8D3W; 8D3X; 8D3Y,ATP1B1,,HGNC:804,Humans,DB00390; DB01396
4926,Steroid hormone receptor ERR2,ESRRB,,,O95718,ERR2_HUMAN,1LO1; 6LIT; 6LN4,ESRRB,,HGNC:3473,Humans,DB00253; DB00288; DB00547; DB00596; DB00663; DB00846; DB00995; DB01047; DB01130; DB01260; DB01380; DB06786; DB14596
4943,Sodium/potassium-transporting ATPase subunit beta-2,ATP1B2,,,P14415,AT1B2_HUMAN,,ATP1B2,,HGNC:805,Humans,DB00390; DB01396
4951,Sodium/potassium-transporting ATPase subunit beta-3,ATP1B3,,,P54709,AT1B3_HUMAN,,ATP1B3,,HGNC:806,Humans,DB00390; DB01396
4959,Sodium/potassium-transporting ATPase subunit alpha-2,ATP1A2,,,P50993,AT1A2_HUMAN,,ATP1A2,,HGNC:800,Humans,DB00390; DB01396
4972,Sodium/potassium-transporting ATPase subunit alpha-3,ATP1A3,,,P13637,AT1A3_HUMAN,8D3U; 8D3V; 8D3W; 8D3X; 8D3Y,ATP1A3,,HGNC:801,Humans,DB00390; DB01396
5220,Ryanodine receptor 2,RYR2,,,Q92736,RYR2_HUMAN,4JKQ; 6Y4O; 6Y4P; 7KL5; 7U9Q; 7U9R; 7U9T; 7U9X; 7U9Z; 7UA1; 7UA3; 7UA4; 7UA5; 7UA9; 8UQ2; 8UQ3; 8UQ4; 8UQ5; 8UXC; 8UXE; 8UXF; 8UXG; 8UXH; 8UXI; 8UXL; 8UXM,RYR2,,HGNC:10484,Humans,DB09085
5225,Cyclic nucleotide-gated channel alpha-1,CNGA1,,,P29973,CNGA1_HUMAN,7LFT; 7LFW; 7LFX; 7LFY; 7LG1; 7RH9; 7RHG; 7RHH; 7RHI; 7RHJ; 7RHK; 7RHL,CNGA1,,HGNC:2148,Humans,DB04209
5387,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,CD38,,,P28907,CD38_HUMAN,1YH3; 1ZVM; 2EF1; 2HCT; 2I65; 2I66; 2I67; 2O3Q; 2O3R; 2O3S; 2O3T; 2O3U; 2PGJ; 2PGL; 3DZF; 3DZG; 3DZH; 3DZI; 3DZJ; 3DZK; 3F6Y; 3I9M; 3I9N; 3OFS; 3RAJ; 3ROK; 3ROM; 3ROP; 3ROQ; 3U4H; 3U4I; 4CMH; 4F45; 4F46; 4OGW; 4TMF; 4XJS; 4XJT; 5F1K; 5F1O; 5F21; 6EDR; 6VUA; 7DHA; 7DUO; 7VKE; 8BYU; 8D0M; 8IL3; 8P8C,CD38,,HGNC:1667,Humans,DB09331; DB14811
5467,Tyrosine-protein kinase Fgr,FGR,,,P09769,FGR_HUMAN,7JT9; 7UY0; 7UY3,FGR,,HGNC:3697,Humans,DB06616
5479,Transcription factor p65,RELA,,,Q04206,TF65_HUMAN,1NFI; 2LSP; 2O61; 3GUT; 3QXY; 3RC0; 4KV1; 4KV4; 5U4K; 5URN; 6NV2; 6QHL; 6QHM; 6YOW; 6YOX; 6YOY; 6YP2; 6YP3; 6YP8; 6YPL; 6YPY; 6YQ2; 7BI3; 7BIQ; 7BIW; 7BIY; 7BJB; 7BJF; 7BJL; 7BJW; 7BKH; 7LET; 7LEU; 7LF4; 7NJ9; 7NJB; 7NK3; 7NK5; 7NLA; 7NLE; 7NM1; 7NM3; 7NM9; 7NMH; 7NQP; 7NR7; 7NSV; 7NV4; 7NVI; 7NWS; 7NXS; 7NXT; 7NXW; 7NXY; 7NY4; 7NYE; 7NYF; 7NYG; 7NZ6; 7NZG; 7NZK; 7NZV; 7O34; 7O3A; 7O3F; 7O3P; 7O3Q; 7O3R; 7O3S; 7O57; 7O59; 7O5A; 7O5C; 7O5D; 7O5F; 7O5G; 7O5O; 7O5P; 7O5S; 7O5U; 7O5X; 7O6F; 7O6G; 7O6I; 7O6J; 7O6K; 7O6M; 7O6O,RELA,,HGNC:9955,Humans,DB00795; DB06439; DB13063
5489,Platelet-activating factor receptor,PTAFR,,,P25105,PTAFR_HUMAN,5ZKP; 5ZKQ,PTAFR,,HGNC:9582,Humans,DB00208; DB11614
5629,5HT3 serotonin receptor,,,,Q9UE69,Q9UE69_HUMAN,,,,,Humans,DB00370
5835,G-protein coupled bile acid receptor 1,GPBAR1,,,Q8TDU6,GPBAR_HUMAN,7BW0; 7CFM; 7CFN; 7XTQ,GPBAR1,,HGNC:19680,Humans,DB04348
5840,P2X purinoceptor 4,P2RX4,,,Q99571,P2RX4_HUMAN,,P2RX4,,HGNC:8535,Humans,DB09119; DB14575
5853,Dihydropyrimidinase-related protein 2,DPYSL2,,,Q16555,DPYL2_HUMAN,2GSE; 2VM8; 5LXX; 5MKV; 5MLE; 5X1A; 5X1C; 5X1D; 5YZ5; 5YZA; 5YZB; 6JV9; 6JVB; 7X68; 8DNM,DPYSL2,,HGNC:3014,Humans,DB06218
5907,Interleukin-17A,IL17A,,,Q16552,IL17_HUMAN,2VXS; 4HR9; 4HSA; 4QHU; 5HHV; 5HHX; 5HI3; 5HI4; 5HI5; 5N7W; 5N92; 5NAN; 5VB9; 6WIO; 6WIR; 7AMA; 7AMG; 7UWM; 7UWN; 7WKX; 7Z2M; 7ZAN; 8B7W; 8CDG; 8DY1; 8DY5; 8DYF; 8DYG; 8DYH; 8DYI; 8USR; 8USS,IL17A,,HGNC:5981,Humans,DB09029; DB11569; DB12917
5908,Orexin/Hypocretin receptor type 1,HCRTR1,,,O43613,OX1R_HUMAN,4ZJ8; 4ZJC; 6TO7; 6TOD; 6TOS; 6TOT; 6TP3; 6TP4; 6TP6; 6TQ4; 6TQ6; 6TQ7; 6TQ9; 6V9S,HCRTR1,,HGNC:4848,Humans,DB09034; DB11951; DB15031
5909,Orexin receptor type 2,HCRTR2,,,O43614,OX2R_HUMAN,4S0V; 5WQC; 5WS3; 6TPG; 6TPJ; 6TPN; 7L1U; 7L1V; 7SQO; 7SR8; 7XRR,HCRTR2,,HGNC:4849,Humans,DB09034; DB11951; DB15031
8538,DNA gyrase subunit A,gyrA,,,P0AES4,GYRA_ECOLI,1AB4; 1X75; 1ZI0; 2Y3P; 3NUH; 4ELY,,,,Escherichia coli (strain K12),DB11943
8541,DNA gyrase subunit A,gyrA,,,P20831,GYRA_STAAU,4PLB; 5BS3,,,,Staphylococcus aureus,DB00218; DB00365; DB00537; DB00685; DB01044; DB01137; DB01155; DB01165; DB01208; DB06771; DB09047; DB12924
8641,Penicillin-binding protein 4,pbp4,,,P72355,P72355_STAAU,,,,,Staphylococcus aureus,DB06211
8752,Malaria protein EXP-1,EXP-1,,,P04926,EXP1_PLAFA,,,,,Plasmodium falciparum,DB09274
8753,Proprotein convertase subtilisin/kexin type 9,PCSK9,,,Q8NBP7,PCSK9_HUMAN,2P4E; 2PMW; 2QTW; 2W2M; 2W2N; 2W2O; 2W2P; 2W2Q; 2XTJ; 3BPS; 3GCW; 3GCX; 3H42; 3M0C; 3P5B; 3P5C; 3SQO; 4K8R; 4NE9; 4NMX; 4OV6; 5OCA; 5VL7; 5VLA; 5VLH; 5VLK; 5VLL; 5VLP; 6E4Y; 6E4Z; 6MV5; 6OLZ; 6OM0; 6OM7; 6U26; 6U2F; 6U2N; 6U2P; 6U36; 6U38; 6U3I; 6U3X; 7ANQ,PCSK9,,HGNC:20001,Humans,DB09302; DB09303; DB14901
8755,Extended-spectrum beta-lactamase PER-1,per1,,,P37321,BLE1_PSEAI,1E25,,,,Pseudomonas aeruginosa,DB09060; DB18716
8756,Class D OXA-48 carbapenemase,OXA-48,,,A0A023W3H0,A0A023W3H0_KLEPN,,,,,Klebsiella pneumoniae,DB09060
8757,Carbapenem-hydrolyzing beta-lactamase KPC,bla,,,Q9F663,BLKPC_KLEPN,2OV5; 3E2K; 3E2L; 3RXW; 3RXX,,,,Klebsiella pneumoniae,DB09060; DB12107
8758,Beta-lactamase UOE-1,blaUOE-1,,,Q9EXV5,Q9EXV5_ECOLX,4HBT; 4HBU; 5FA7; 5FAO; 5FAP,,,,Escherichia coli,DB09060
8759,Nonstructural protein 5A,NS5A,,,Q5L478,Q5L478_9HEPC,,,,,Hepatitis C Virus,DB09027; DB09102; DB09296; DB11574; DB11613; DB13878
8760,Sphingosine 1-phosphate receptor 1,S1PR1,,,P21453,S1PR1_HUMAN,3V2W; 3V2Y; 7EO2; 7EO4; 7EVY; 7EVZ; 7EW0; 7EW7; 7TD3; 7TD4; 7VIE; 7VIF; 7VIG; 7VIH; 7WF7; 8G94,S1PR1,,HGNC:3165,Humans,DB08868; DB12016; DB12371; DB12612; DB14766
8762,Nonstructural protein 5b,NS5b,,,P87764,P87764_9HEPC,,,,,,DB09183
8764,Corticotropin-releasing factor receptor 1,CRHR1,,,P34998,CRFR1_HUMAN,2L27; 3EHS; 3EHT; 3EHU; 4K5Y; 4Z9G; 6P9X; 6PB0; 8GTG; 8GTI; 8GTM,CRHR1,,HGNC:2357,Humans,DB06402; DB09067
8765,Thyrotropin-releasing hormone receptor,TRHR,,,P34981,TRFR_HUMAN,7WKD; 7X1T; 7X1U; 7XW9,TRHR,,HGNC:12299,Humans,DB09421
981,Interleukin-12 subunit beta,IL12B,180626,M65272,P29460,IL12B_HUMAN,1F42; 1F45; 3D85; 3D87; 3DUH; 3HMX; 3QWR; 4GRW; 5MJ3; 5MJ4; 5MXA; 5MZV; 5NJD; 6UIB; 6WDQ; 8CR8; 8OE4; 8XRP; 8YI7,IL12B,IL12B,HGNC:5970,Humans,DB05679; DB14004; DB14762
3415,Interleukin-23 subunit alpha,IL23A,,AF301620,Q9NPF7,IL23A_HUMAN,3D85; 3D87; 3DUH; 3QWR; 4GRW; 5MJ3; 5MJ4; 5MXA; 5MZV; 5NJD; 6UIB; 6WDQ; 8CR8; 8OE4,IL23A,IL23A,HGNC:15488,Humans,DB05679; DB14004; DB14762
