ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
266,Neprilysin,MME,34758,X07166,P08473,NEP_HUMAN,1DMT; 1R1H; 1R1I; 1R1J; 1Y8J; 2QPJ; 2YB9; 4CTH; 5JMY; 6GID; 6SH1; 6SH2; 6SUK; 6SVY; 6THP; 6XVP,MME,MME,HGNC:7154,Humans,DB09292
267,Carbonic anhydrase 1,CA1,29600,X05014,P00915,CAH1_HUMAN,1AZM; 1BZM; 1CRM; 1CZM; 1HCB; 1HUG; 1HUH; 1J9W; 1JV0; 2CAB; 2FOY; 2FW4; 2IT4; 2NMX; 2NN1; 2NN7; 3LXE; 3W6H; 3W6I; 4WR7; 4WUP; 4WUQ; 5E2M; 5GMM; 6EVR; 6EX1; 6F3B; 6FAF; 6FAG; 6G3V; 6HWZ; 6I0J; 6I0L; 6SWM; 6XZE; 6XZO; 6XZS; 6XZX; 6XZY; 6Y00; 7PLF; 7Q0D; 7QOB; 7ZL5; 8CDX; 8CDZ; 8Q6L; 8Q7G,CA1,CA1,HGNC:1368,Humans,DB00310; DB00703; DB00819; DB00869; DB00880; DB00936; DB01031; DB01144; DB01325; DB03255; DB09472; DB11672; DB12754; DB14086
270,Renin,REN,190994,L00073,P00797,RENI_HUMAN,1BBS; 1BIL; 1BIM; 1HRN; 1RNE; 2BKS; 2BKT; 2FS4; 2G1N; 2G1O; 2G1R; 2G1S; 2G1Y; 2G20; 2G21; 2G22; 2G24; 2G26; 2G27; 2I4Q; 2IKO; 2IKU; 2IL2; 2REN; 2V0Z; 2V10; 2V11; 2V12; 2V13; 2V16; 2X0B; 3D91; 3G6Z; 3G70; 3G72; 3GW5; 3K1W; 3KM4; 3O9L; 3OAD; 3OAG; 3OOT; 3OQF; 3OQK; 3OWN; 3Q3T; 3Q4B; 3Q5H; 3SFC; 3VCM; 3VSW; 3VSX; 3VUC; 3VYD; 3VYE; 3VYF; 4AMT; 4GJ5; 4GJ6; 4GJ7; 4GJ8; 4GJ9; 4GJA; 4GJB; 4GJC; 4GJD; 4PYV; 4Q1N; 4RYC; 4RYG; 4RZ1; 4S1G; 4XX3; 4XX4; 5KOQ; 5KOS; 5KOT; 5SXN; 5SY2; 5SY3; 5SZ9; 5T4S; 5TMG; 5TMK; 5V8V; 5VPM; 5VRP; 6I3F; 7XGK; 7XGO; 7XGP,REN,REN,HGNC:9958,Humans,DB09026
274,T-cell surface glycoprotein CD3 epsilon chain,CD3E,469945,X03884,P07766,CD3E_HUMAN,1A81; 1SY6; 1XIW; 2ROL; 5QU2; 6JXR; 7FJD; 7FJE; 7FJF; 7PHR; 8ES7; 8ES8; 8ES9; 8F0L; 8JC0; 8JCB; 8WXE; 8WY0; 8WYI; 8YC0; 9CI8; 9CIA,CD3E,CD3E,HGNC:1674,Humans,DB00075; DB06606; DB06607; DB15434; DB16672
279,30S ribosomal protein S12,rpsL,43010,V00355,P0A7S3,RS12_ECOLI,1M5G; 1MJ1; 1ZN1; 2YKR; 3DEG; 3EP2; 3EQ3; 3EQ4; 3J0D; 3J0E; 3J9Y; 3J9Z; 3JA1; 4A2I; 4ADV; 4U1U; 4U1V; 4U20; 4U24; 4U25; 4U26; 4U27; 4V47; 4V48; 4V4H; 4V4Q; 4V4V; 4V4W; 4V50; 4V52; 4V53; 4V54; 4V55; 4V56; 4V57; 4V5B; 4V5H; 4V5Y; 4V64; 4V65; 4V66; 4V69; 4V6C; 4V6D; 4V6E; 4V6K; 4V6L; 4V6M; 4V6N; 4V6O; 4V6P; 4V6Q; 4V6R; 4V6S; 4V6T; 4V6V; 4V6Y; 4V6Z; 4V70; 4V71; 4V72; 4V73; 4V74; 4V75; 4V76; 4V77; 4V78; 4V79; 4V7A; 4V7B; 4V7C; 4V7D; 4V7I; 4V7S; 4V7T; 4V7U; 4V7V; 4V85; 4V89; 4V9C; 4V9D; 4V9O; 4V9P; 4WF1; 4WOI; 4WWW; 4YBB; 5AFI,,,,Escherichia coli (strain K12),DB00452; DB00479; DB00560; DB00798; DB00919; DB00955; DB00994; DB01082; DB01172; DB03615
280,Antithrombin-III,SERPINC1,179161,M21642,P01008,ANT3_HUMAN,1ANT; 1ATH; 1AZX; 1BR8; 1DZG; 1DZH; 1E03; 1E04; 1E05; 1JVQ; 1LK6; 1NQ9; 1OYH; 1R1L; 1SR5; 1T1F; 1TB6; 2ANT; 2B4X; 2B5T; 2BEH; 2GD4; 2HIJ; 2ZNH; 3EVJ; 3KCG; 4EB1,SERPINC1,SERPINC1,HGNC:775,Humans,DB00407; DB00569; DB01109; DB01225; DB06271; DB06754; DB06779; DB06822; DB08813
281,Solute carrier family 12 member 2,SLC12A2,903682,U30246,P55011,S12A2_HUMAN,6PZT; 7D10; 7MXO; 7N3N; 7S1X; 7S1Y; 7S1Z; 7SFL; 7SMP; 7ZGO; 8STE,SLC12A2,SLC12A2,HGNC:10911,Humans,DB00214; DB00887; DB01325
289,Alpha-2A adrenergic receptor,ADRA2A,178196,M23533,P08913,ADA2A_HUMAN,1HLL; 1HO9; 1HOD; 1HOF; 6K42; 6KUX; 6KUY; 7EJ0; 7EJ8; 7EJA; 7EJK; 7W6P; 7W7E,ADRA2A,ADRA2A,HGNC:281,Humans,DB00368; DB00370; DB00449; DB00484; DB00575; DB00629; DB00633; DB00668; DB00852; DB00865; DB00925; DB00935; DB00964; DB00968; DB01018; DB01392; DB01577; DB01608; DB04855; DB04948; DB06262; DB06694; DB06711; DB09242; DB11124; DB11278
291,5-hydroxytryptamine receptor 1A,HTR1A,189928,M28269,P08908,5HT1A_HUMAN,7E2X; 7E2Y; 7E2Z; 8FY8; 8FYE; 8FYL; 8FYT; 8FYX; 8JSP; 8JT6; 8PJK; 8PKM; 8W8B,HTR1A,HTR1A,HGNC:5286,Humans,DB00246; DB00247; DB00477; DB00490; DB00656; DB00669; DB00952; DB01149; DB01359; DB01616; DB01621; DB04908; DB09068; DB09167; DB12184; DB14185
293,Vasopressin V2 receptor,AVPR2,28418,U04357,P30518,V2R_HUMAN,4JQI; 6NI2; 6U1N; 7BB6; 7BB7; 7DF9; 7DFA; 7DFB; 7DFC; 7DW9; 7KH0; 7R0C; 7R0J; 8GOC; 8I10; 8JRU; 8JRV; 8WRZ; 8WU1,AVPR2,AVPR2,HGNC:897,Humans,DB00035; DB00067; DB00107; DB00872; DB02638; DB06212; DB14642
296,Prostaglandin D2 receptor,PTGDR,940379,U31332,Q13258,PD2R_HUMAN,,PTGDR,PTGDR,HGNC:9591,Humans,DB00374; DB11629; DB12789
298,Glutathione reductase,gor,146248,M13141,P06715,GSHR_ECOLI,1GER; 1GES; 1GET; 1GEU,,,,Escherichia coli (strain K12),DB00336
302,Beta-lactamase,blaZ,581568,X04121,P00807,BLAC_STAAU,1ALQ; 1BLC; 1BLH; 1BLP; 1DJA; 1DJB; 1DJC; 1GHI; 1GHM; 1GHP; 1KGE; 1KGF; 1KGG; 1OME; 1PIO; 3BLM,,,,Staphylococcus aureus,DB00766; DB01606; DB02772; DB09324; DB12107; DB12377; DB18716
303,Voltage-dependent L-type calcium channel subunit beta-1,CACNB1,179806,M92303,Q02641,CACB1_HUMAN,7VFS; 7VFU; 7VFV; 7VFW; 7XLQ; 7YG5,CACNB1,CACNB1,HGNC:1401,Humans,DB00308; DB00393; DB00898; DB04855
308,DNA polymerase catalytic subunit,,59530,X14112,P04293,DPOL_HHV11,,,,,HHV-1,DB00194; DB00299; DB00369; DB00426; DB00529; DB00577; DB00787; DB00987; DB01004; DB01610; DB12480
311,5-hydroxytryptamine receptor 3A,HTR3A,681914,D49394,P46098,5HT3A_HUMAN,8AXD; 8BL8; 8BLA; 8BLB,HTR3A,HTR3A,HGNC:5297,Humans,DB00377; DB00604; DB00721; DB00757; DB00889; DB00904; DB00969; DB01199; DB01202; DB01221; DB01233; DB09068; DB11699
312,Protein P,P,329670,M32138,P24024,DPOL_HBVD2,,,,,HBV-D,DB00718
315,Thyroid hormone receptor beta,THRB,31207,X04707,P10828,THB_HUMAN,1BSX; 1N46; 1NAX; 1NQ0; 1NQ1; 1NQ2; 1NUO; 1Q4X; 1R6G; 1XZX; 1Y0X; 2J4A; 2NLL; 2PIN; 3D57; 3GWS; 3IMY; 3JZC; 4ZO1; 6KKB; 6KKE; 6KNU; 6KNV; 6KNW; 7WLX; 7WMG; 7WMH; 7WMJ; 7WML; 7WMN; 7WMO,THRB,THRB,HGNC:11799,Humans,DB00279; DB00451; DB00509; DB01583; DB09100; DB12914
317,3-hydroxyacyl-CoA dehydrogenase type-2,HSD17B10,2558754,U96132,Q99714,HCD2_HUMAN,1SO8; 1U7T; 2O23; 7ONU; 8CBK; 8CBL; 8CBM; 8CBO,HSD17B10,HSD17B10,HGNC:4800,Humans,DB09568
318,Secretin receptor,SCTR,662796,U20178,P47872,SCTR_HUMAN,6WI9; 6WZG; 7D3S,SCTR,SCTR,HGNC:10608,Humans,DB09532
322,Carbonic anhydrase 2,CA2,179780,M77181,P00918,CAH2_HUMAN,12CA; 1A42; 1AM6; 1AVN; 1BCD; 1BIC; 1BN1; 1BN3; 1BN4; 1BNM; 1BNN; 1BNQ; 1BNT; 1BNU; 1BNV; 1BNW; 1BV3; 1CA2; 1CA3; 1CAH; 1CAI; 1CAJ; 1CAK; 1CAL; 1CAM; 1CAN; 1CAO; 1CAY; 1CAZ; 1CCS; 1CCT; 1CCU; 1CIL; 1CIM; 1CIN; 1CNB; 1CNC; 1CNG; 1CNH; 1CNI; 1CNJ; 1CNK; 1CNW; 1CNX; 1CNY; 1CRA; 1CVA; 1CVB; 1CVC; 1CVD; 1CVE; 1CVF; 1CVH; 1DCA; 1DCB; 1EOU; 1F2W; 1FQL; 1FQM; 1FQN; 1FQR; 1FR4; 1FR7; 1FSN; 1FSQ; 1FSR; 1G0E; 1G0F; 1G1D; 1G3Z; 1G45; 1G46; 1G48; 1G4J; 1G4O; 1G52; 1G53; 1G54; 1H4N; 1H9N; 1H9Q; 1HCA; 1HEA; 1HEB; 1HEC; 1HED; 1HVA; 1I8Z; 1I90; 1I91; 1I9L; 1I9M; 1I9N; 1I9O; 1I9P; 1I9Q; 1IF4; 1IF5; 1IF6; 1IF7; 1IF8; 1IF9; 1KWQ; 1KWR; 1LG5; 1LG6; 1LGD; 1LUG; 1LZV; 1MOO; 1MUA; 1OKL; 1OKM; 1OKN; 1OQ5; 1RAY; 1RAZ; 1RZA; 1RZB; 1RZC; 1RZD; 1RZE; 1T9N; 1TB0; 1TBT; 1TE3; 1TEQ; 1TEU; 1TG3; 1TG9; 1TH9; 1THK; 1TTM; 1UGA; 1UGB; 1UGC; 1UGD; 1UGE; 1UGF; 1UGG; 1XEG; 1XEV; 1XPZ; 1XQ0; 1YDA; 1YDB; 1YDC; 1YDD; 1YO0; 1YO1; 1YO2; 1Z9Y; 1ZE8; 1ZFK; 1ZFQ; 1ZGE; 1ZGF; 1ZH9; 1ZSA; 1ZSB; 1ZSC; 2ABE; 2AW1; 2AX2; 2CA2; 2CBA; 2CBB; 2CBC; 2CBD; 2CBE; 2EU2; 2EU3; 2EZ7; 2F14; 2FMG; 2FMZ; 2FNK; 2FNM; 2FNN; 2FOQ; 2FOS; 2FOU; 2FOV; 2GD8; 2GEH; 2H15; 2H4N; 2HD6; 2HKK; 2HL4; 2HNC; 2HOC; 2ILI; 2NNG; 2NNO; 2NNS; 2NNV; 2NWO; 2NWP; 2NWY; 2NWZ; 2NXR; 2NXS; 2NXT; 2O4Z; 2OSF; 2OSM; 2POU; 2POV; 2POW; 2Q1B; 2Q1Q; 2Q38; 2QO8; 2QOA; 2QP6; 2VVA; 2VVB; 2WD2; 2WD3; 2WEG; 2WEH; 2WEJ; 2WEO; 2X7S; 2X7T; 2X7U; 3B4F; 3BET; 3BL0; 3BL1; 3C7P; 3CA2; 3CAJ; 3CYU; 3D8W; 3D92; 3D93; 3D9Z; 3DAZ; 3DBU; 3DC3; 3DC9; 3DCC; 3DCS; 3DCW; 3DD0; 3DD8; 3DV7; 3DVB; 3DVC; 3DVD; 3EFI; 3EFT; 3F4X; 3F8E; 3FFP; 3GZ0; 3HFP; 3HKN; 3HKQ; 3HKT; 3HKU; 3HLJ; 3HS4; 3IBI; 3IBL; 3IBN; 3IBU; 3IEO; 3IGP; 3K2F; 3K34; 3K7K; 3KIG; 3KKX; 3KNE; 3KOI; 3KOK; 3KON; 3KS3; 3KWA; 3L14; 3M04; 3M14; 3M1J; 3M1K; 3M1Q; 3M1W; 3M2N; 3M2X; 3M2Y; 3M2Z; 3M3X; 3M40; 3M5E; 3M5S; 3M5T; 3M67; 3M96; 3M98; 3MHC; 3MHI; 3MHL; 3MHM; 3MHO; 3ML2; 3MMF; 3MNA; 3MNH; 3MNI; 3MNJ; 3MNK; 3MNU; 3MWO; 3MYQ; 3MZC; 3N0N; 3N2P; 3N3J; 3N4B; 3NB5; 3NI5; 3NJ9; 3OIK; 3OIL; 3OIM; 3OKU; 3OKV; 3OY0; 3OYQ; 3OYS; 3P3H; 3P3J; 3P44; 3P4V; 3P55; 3P58; 3P5A; 3P5L; 3PJJ; 3PO6; 3PYK; 3QYK; 3R16; 3R17; 3RG3; 3RG4; 3RGE; 3RJ7; 3RLD; 3RYJ; 3RYV; 3RYX; 3RYY; 3RYZ; 3RZ0; 3RZ1; 3RZ5; 3RZ7; 3RZ8; 3S71; 3S72; 3S73; 3S74; 3S75; 3S76; 3S77; 3S78; 3S8X; 3S9T; 3SAP; 3SAX; 3SBH; 3SBI; 3T5U; 3T5Z; 3T82; 3T83; 3T84; 3T85; 3TMJ; 3TVN; 3TVO; 3U3A; 3U45; 3U47; 3U7C; 3V2J; 3V2M; 3V3F; 3V3G; 3V3H; 3V3I; 3V3J; 3V5G; 3V7X; 3VBD; 3ZP9; 4BCW; 4BF1; 4BF6; 4CA2; 4CAC; 4CQ0; 4DZ7; 4DZ9; 4E3D; 4E3F; 4E3G; 4E3H; 4E49; 4E4A; 4E5Q; 4FIK; 4FL7; 4FPT; 4FRC; 4FU5; 4FVN; 4FVO; 4G0C; 4GL1; 4HBA; 4HEW; 4HEY; 4HEZ; 4HF3; 4HT0; 4IDR; 4ILX; 4ITO; 4ITP; 4IWZ; 4JS6; 4JSA; 4JSS; 4JSW; 4JSZ; 4K0S; 4K0T; 4K0Z; 4K13; 4K1Q; 4KAP; 4KNI; 4KNJ; 4KUV; 4KUW; 4KUY; 4KV0; 4L5U; 4L5V; 4L5W; 4LHI; 4LP6; 4M2R; 4M2U; 4M2V; 4M2W; 4MDG; 4MDL; 4MDM; 4MLT; 4MLX; 4MO8; 4MTY; 4N0X; 4N16; 4PQ7; 4PXX; 4PYX; 4PYY; 4PZH; 4Q06; 4Q07; 4Q08; 4Q09; 4Q49; 4Q6D; 4Q6E; 4Q78; 4Q7P; 4Q7S; 4Q7V; 4Q7W; 4Q81; 4Q83; 4Q87; 4Q8X; 4Q8Y; 4Q8Z; 4Q90; 4Q99; 4Q9Y; 4QEF; 4QIY; 4QJM; 4QK1; 4QK2; 4QK3; 4QSA; 4QSB; 4QSI; 4QTL; 4QY3; 4R59; 4R5A; 4R5B; 4RFC; 4RFD; 4RH2; 4RIU; 4RIV; 4RN4; 4RUX; 4RUY; 4RUZ; 4WL4; 4WW6; 4XE1; 4Y0J; 4YGJ; 4YGK; 4YGL; 4YGN; 4YVY; 4YWP; 4YX4; 4YXI; 4YXO; 4YXU; 4YYT; 4Z0Q; 4Z1E; 4Z1J; 4Z1K; 4Z1N; 4ZAO; 4ZWI; 4ZWX; 4ZWY; 4ZWZ; 4ZX0; 4ZX1; 5A6H; 5AMD; 5AMG; 5AML; 5BNL; 5BRU; 5BRV; 5BRW; 5BYI; 5C8I; 5CA2; 5CAC; 5CLU; 5DOG; 5DOH; 5DRS; 5DSK; 5DSL; 5DSM; 5DSO; 5DSP; 5DSQ; 5DSR; 5E28; 5E2K; 5E2R; 5E2S; 5EH5; 5EH7; 5EH8; 5EHE; 5EHV; 5EHW; 5EIJ; 5EKH; 5EKJ; 5EKM; 5EOI; 5FDC; 5FDI; 5FLO; 5FLP; 5FLQ; 5FLR; 5FLS; 5FLT; 5FNG; 5FNH; 5FNI; 5FNJ; 5FNK; 5FNL; 5FNM; 5G01; 5G03; 5G0B; 5G0C; 5GMN; 5J8Z; 5JDV; 5JE7; 5JEG; 5JEH; 5JEP; 5JES; 5JG3; 5JG5; 5JGS; 5JGT; 5JMZ; 5JN3; 5JN7; 5JQ0; 5JQT; 5L3O; 5L6K; 5L6T; 5L70; 5L9E; 5LJQ; 5LJT; 5LL4; 5LL8; 5LLC; 5LLE; 5LLG; 5LLH; 5LMD; 5LVS; 5M78; 5MJN; 5N0D; 5N0E; 5N1R; 5N1S; 5N24; 5N25; 5NEA; 5NEE; 5NXG; 5NXI; 5NXM; 5NXO; 5NXP; 5NXV; 5NXW; 5NY1; 5NY3; 5NY6; 5NYA; 5O07; 5OGN; 5OGO; 5OGP; 5SZ0; 5SZ1; 5SZ2; 5SZ3; 5SZ4; 5SZ5; 5SZ6; 5SZ7; 5T71; 5T72; 5T74; 5T75; 5TFX; 5TH4; 5THI; 5THJ; 5THN; 5TI0; 5TXY; 5TY1; 5TY8; 5TY9; 5TYA; 5U0D; 5U0E; 5U0F; 5U0G; 5ULN; 5UMC; 5VGY; 5W8B; 5WEX; 5WG7; 5WGP; 5WLR; 5WLT; 5WLU; 5WLV; 5Y2R; 5Y2S; 5YUI; 5YUJ; 5YUK; 5ZXW; 6B4D; 6B59; 6B5A; 6BBS; 6BC9; 6BCC; 6C7W; 6C7X; 6CA2; 6CEH; 6CJV; 6D1L; 6D1M; 6E8P; 6E8X; 6E91; 6E92; 6EBE; 6ECZ; 6EDA; 6EEA; 6EEH; 6EEO; 6EQU; 6FJI; 6FJJ; 6G3Q; 6G6T; 6GCY; 6GDC; 6GM9; 6GOT; 6GXB; 6GXE; 6H29; 6H2Z; 6H33; 6H34; 6H3Q; 6H6S; 6HD2; 6HQX; 6HR3; 6HX5; 6HXD; 6HZX; 6I0W; 6I1U; 6I2F; 6I3E; 6IC2; 6KLZ; 6KM0; 6KM1; 6KM2; 6KM3; 6KM4; 6KM5; 6KM6; 6LUU; 6LUV; 6LUW; 6LUX; 6LUY; 6LUZ; 6LV1; 6LV2; 6LV3; 6LV4; 6LV5; 6LV6; 6LV7; 6LV8; 6LV9; 6LVA; 6MBV; 6MBY; 6NLV; 6NM0; 6ODZ; 6OE0; 6OE1; 6OTI; 6OTK; 6OTM; 6OTO; 6OTP; 6OTQ; 6OUB; 6OUD; 6OUE; 6OUF; 6OUH; 6OUI; 6OUJ; 6OUK; 6OUM; 6PDV; 6PEA; 6PGX; 6Q3O; 6Q9T; 6QEB; 6QL1; 6QL2; 6QL3; 6R6F; 6R6J; 6RFH; 6RG3; 6RG4; 6RG5; 6RH4; 6RHJ; 6RHK; 6RIG; 6RIT; 6RJJ; 6RKN; 6RL9; 6RM1; 6RMP; 6RMX; 6RMY; 6RNP; 6ROB; 6ROE; 6ROF; 6RQI; 6RRG; 6RRI; 6RS5; 6RSZ; 6RVF; 6RVK; 6RVL; 6RW1; 6RZX; 6S03; 6S9G; 6S9Z; 6SAC; 6SAS; 6SAY; 6SB7; 6SBH; 6SBL; 6SBM; 6SD7; 6SDH; 6SDI; 6SDJ; 6SDL; 6SDS; 6SEY; 6SFQ; 6SFU; 6SG0; 6SG6; 6SX9; 6SYB; 6SYS; 6T4N; 6T4O; 6T4P; 6T5C; 6T7U; 6T81; 6T9Z; 6U4Q; 6U4T; 6UFB; 6UFC; 6UFD; 6UGN; 6UGO; 6UGP; 6UGQ; 6UGR; 6UGZ; 6UH0; 6UX1; 6UZU; 6VJ3; 6VKG; 6WKA; 6WQ4; 6WQ5; 6WQ7; 6WQ8; 6WQ9; 6XVH; 6XWZ; 6XXT; 6YH4; 6YH5; 6YH6; 6YH7; 6YH8; 6YH9; 6YHA; 6YHB; 6YHC; 6YJ3; 6YKC; 6YKH; 6YMA; 6YMB; 6YO2; 6YO4; 6YO7; 6YOI; 6YOK; 6YOL; 6YPW; 6YQT; 6YQU; 6YRI; 6YZJ; 6YZK; 6YZL; 6YZM; 6YZN; 6YZO; 6YZP; 6YZQ; 6YZR; 6YZS; 6YZT; 6YZU; 6YZV; 6YZW; 6YZX; 6Z04; 6ZR8; 7A6V; 7AEQ; 7AES; 7AGN; 7ASJ; 7BFA; 7BG5; 7BHH; 7BI5; 7CA2; 7JNR; 7JNV; 7JNW; 7JNX; 7JNZ; 7JO0; 7JO1; 7JO2; 7JO3; 7JOB; 7JOC; 7K6I; 7K6J; 7K6K; 7K6L; 7K6T; 7K6U; 7K6X; 7K6Z; 7M23; 7M24; 7M26; 7MU3; 7NH6; 7NH8; 7NTB; 7NZR; 7NZS; 7NZT; 7NZU; 7NZW; 7NZX; 7OK8; 7ONV; 7ORP; 7ORQ; 7OYM; 7OYN; 7OYO; 7OYP; 7OYQ; 7OYR; 7Q0C; 7Q0E; 7QBH; 7QGX; 7QGY; 7QGZ; 7QNV; 7QRK; 7QSE; 7QSI; 7QZX; 7R1X; 7RNY; 7RNZ; 7RRE; 7RRF; 7SUW; 7SUY; 7SV1; 7SV8; 7U5W; 7U5X; 7Y2A; 7Y2C; 7Y2E; 7Y2F; 7Y2G; 7Y2H; 7Y2I; 7Y2J; 7Y2K; 7Y2L; 7Y2M; 7Y2N; 7Y2O; 7Y2Q; 7Y2R; 7Y2S; 7Y2T; 7Y2U; 7Y2V; 7Y2W; 7Y2X; 7YWT; 7ZL6; 7ZWB; 8AA6; 8AAE; 8B29; 8BJX; 8BOE; 8BZZ; 8C0Q; 8C0R; 8CA2; 8CR0; 8DJ9; 8EM3; 8EMU; 8EXC; 8EXG; 8EYL; 8FAL; 8FAU; 8FQX; 8FQY; 8FQZ; 8FR1; 8FR2; 8FR4; 8IGF; 8J2O; 8JEE; 8OGD; 8OGE; 8OGF; 8OKE; 8OKG; 8OKJ; 8OKO; 8OKP; 8OKQ; 8OKT; 8OLA; 8OLF; 8OLI; 8OLK; 8OLM; 8OMB; 8OMH; 8OMN; 8OMP; 8OO8; 8OTP; 8OUB; 8P6U; 8PHL; 8Q0C; 8R1I; 8SAF; 8SAG; 8SD1; 8SD6; 8SD7; 8SD8; 8SD9; 8SF1; 8ZWV; 9CA2,CA2,CA2,HGNC:1373,Humans,DB00273; DB00562; DB00606; DB00703; DB00819; DB00869; DB00880; DB00936; DB01031; DB01144; DB01194; DB01325; DB03255; DB06795; DB08329; DB09472; DB11085; DB11672; DB12754; DB14086
324,Thymidylate synthase,TYMS,37479,X02308,P04818,TYSY_HUMAN,1HVY; 1HW3; 1HW4; 1HZW; 1I00; 1JU6; 1JUJ; 1YPV; 2ONB; 2RD8; 2RDA; 3EAW; 3EBU; 3ED7; 3EDW; 3EF9; 3EGY; 3EHI; 3EJL; 3GG5; 3GH0; 3GH2; 3H9K; 3HB8; 3N5E; 3N5G; 3OB7; 4E28; 4FGT; 4G2O; 4G6W; 4GD7; 4GYH; 4H1I; 4JEF; 4KPW; 4O1U; 4O1X; 4UP1; 5HS3; 5WRN; 5X4W; 5X4X; 5X4Y; 5X5A; 5X5D; 5X5Q; 5X66; 5X67; 5X69; 6OJU; 6OJV; 6PF3; 6PF4; 6PF5; 6PF6; 6QXG; 6QXH; 6QYQ; 6R2E; 6ZXO,TYMS,TYMS,HGNC:12441,Humans,DB00293; DB00322; DB00432; DB00544; DB00563; DB00642; DB01101; DB09256; DB09327
325,Ribonucleoside-diphosphate reductase large subunit,RRM1,36065,X59543,P23921,RIR1_HUMAN,2WGH; 3HNC; 3HND; 3HNE; 3HNF; 4X3V; 5D1Y; 5TUS; 6AUI; 6L3R; 6L7L; 6LKM,RRM1,RRM1,HGNC:10451,Humans,DB00242; DB00441; DB00631; DB01005; DB01073; DB01280
327,Melatonin receptor type 1B,MTNR1B,971194,U25341,P49286,MTR1B_HUMAN,6ME6; 6ME7; 6ME8; 6ME9; 7VH0,MTNR1B,MTNR1B,HGNC:7464,Humans,DB00980; DB01065; DB06594; DB09071
329,11-beta-hydroxysteroid dehydrogenase 1,HSD11B1,179475,M76665,P28845,DHI1_HUMAN,1XU7; 1XU9; 2BEL; 2ILT; 2IRW; 2RBE; 3BYZ; 3BZU; 3CH6; 3CZR; 3D3E; 3D4N; 3D5Q; 3EY4; 3FCO; 3FRJ; 3H6K; 3HFG; 3OQ1; 3PDJ; 3QQP; 3TFQ; 4BB5; 4BB6; 4C7J; 4C7K; 4HFR; 4HX5; 4IJU; 4IJV; 4IJW; 4K1L; 4P38; 4YYZ; 5PGU; 5PGV; 5PGW; 5PGX; 5PGY; 5QII,HSD11B1,HSD11B1,HGNC:5208,Humans,DB13751
330,Dihydrofolate reductase,DHFR,182724,J00140,P00374,DYR_HUMAN,1BOZ; 1DHF; 1DLR; 1DLS; 1DRF; 1HFP; 1HFQ; 1HFR; 1KMS; 1KMV; 1MVS; 1MVT; 1OHJ; 1OHK; 1PD8; 1PD9; 1PDB; 1S3U; 1S3V; 1S3W; 1U71; 1U72; 1YHO; 2C2S; 2C2T; 2DHF; 2W3A; 2W3B; 2W3M; 3EIG; 3F8Y; 3F8Z; 3F91; 3FS6; 3GHC; 3GHV; 3GHW; 3GI2; 3GYF; 3L3R; 3N0H; 3NTZ; 3NU0; 3NXO; 3NXR; 3NXT; 3NXV; 3NXX; 3NXY; 3NZD; 3OAF; 3S3V; 3S7A; 4DDR; 4G95; 4KAK; 4KBN; 4KD7; 4KEB; 4KFJ; 4M6J; 4M6K; 4M6L; 4QHV; 4QJC; 5HPB; 5HQY; 5HQZ; 5HSR; 5HSU; 5HT4; 5HT5; 5HUI; 5HVB; 5HVE; 5SD6; 5SD7; 5SD8; 5SD9; 5SDA; 5SDB; 6A7C; 6A7E; 6DAV; 6DE4; 6VCJ; 7ESE; 7XI7,DHFR,DHFR,HGNC:2861,Humans,DB00205; DB00233; DB00440; DB00563; DB00642; DB00650; DB01131; DB01157; DB06813
9057,Enoyl-[acyl-carrier-protein] reductase [NADH],inhA,,,P9WGR1,INHA_MYCTU,1BVR; 1ENY; 1ENZ; 1P44; 1P45; 1ZID; 2AQ8; 2AQH; 2AQI; 2AQK; 2B35; 2B36; 2B37; 2H9I; 2IDZ; 2IE0; 2IEB; 2IED; 2NSD; 2NTJ; 2NV6; 2PR2; 2X22; 2X23; 3FNE; 3FNF; 3FNG; 3FNH; 3OEW; 3OEY; 3OF2; 4BGE; 4BGI; 4BII; 4BQP; 4BQR; 4COD; 4D0R; 4D0S; 4DQU; 4DRE; 4DTI; 4OHU; 4OIM; 4OXK; 4OXN; 4OXY; 4OYR; 4QXM; 4R9R; 4R9S; 4TRJ; 4TRM; 4TRN; 4TRO; 4TZK; 4TZT; 4U0J; 4U0K; 4UVD; 4UVE; 4UVG; 4UVH; 4UVI; 5COQ; 5CP8; 5CPB; 5CPF; 5G0S; 5G0T; 5G0U; 5G0V; 5G0W; 5JFO; 5MTP; 5MTQ; 5MTR; 5UGS; 5UGT; 5UGU,,,,Mycobacterium tuberculosis,DB00339; DB00609; DB00951; DB12667
